0:0	despite that , we do n't have the slightest chance of terrorism taking place .	N/A	despite that , there is not the slightest chance for terrorism .	N/A	1	1	0-0 1-1 2-2 7-6 8-7 9-8 10-9 11-10 14-11 3-3 3-4 3-5 4-3 4-4 4-5 5-3 5-4 5-5 6-3 6-4 6-5		 
293:293	at present , the work on prevention and control of the bird flu in the entire country is being carried out in an intense but orderly manner .	N/A	presently , the national prevention of bird flue is going on at a quick pace and in an orderly way .	N/A	1	1	0-0 1-0 2-1 3-2 9-5 10-6 11-6 12-7 13-3 14-3 15-3 16-3 17-8 18-9 18-10 19-9 19-10 20-9 20-10 21-11 22-12 23-13 25-18 26-14 26-19 27-20 4-4 5-4 6-4		 
294:294	inchon is to the west of seoul .	N/A	kimpo is west to seoul .	N/A	1	1	0-0 1-1 2-2 3-2 4-2 5-3 6-4 7-5		 
295:295	several contracts will be signed during the visit , one of which involves the construction of seven thousand houses and a petrochemical unit in venezuela .	N/A	several contracts will be signed during the visit , one for building 7,000 houses and a petrochemical unit in venezuela .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 13-11 14-11 15-11 16-12 17-12 18-13 19-14 20-15 21-16 22-17 23-18 24-19 25-20 10-10 11-10 12-10		 
296:296	about 35 % of the people interviewed blame the media as the chief culprit for making the native australians prejudiced against the british immigrants .	N/A	about 35 of those surveyed blamed the media for fueling the anti-british feelings in the local people .	N/A	1	1	0-0 1-1 2-1 3-2 6-4 7-5 8-6 9-7 10-8 11-10 13-9 15-9 16-14 17-15 18-16 20-11 21-11 22-11 24-17 4-3 5-3 19-12		 
297:297	the new program will first be carried out in 10 areas , which suffer most from soaring street-crimes .	N/A	the new program will be carried out first in 10 crime-prone street blocks .	N/A	1	1	0-0 1-1 2-2 3-3 4-7 5-4 6-5 7-6 8-8 9-9 10-12 17-10 17-11 18-13		 
298:298	akafu highly praised the result of the meeting with prime minister li peng .	N/A	akayev spoke highly the meeting results with premier li peng .	N/A	1	1	0-0 1-1 1-2 2-1 2-2 3-3 4-5 5-5 7-4 8-6 9-7 10-7 11-8 12-9 13-10 6-4		 
299:299	this foreign minister meeting of saarc is a preparatory meeting for the saarc summit meeting .	N/A	the foreign minister meeting is a preparation for the south asia summit .	N/A	1	1	0-0 1-1 2-2 3-3 6-4 7-5 8-6 9-6 10-7 11-8 12-9 12-10 13-11 14-11 15-12		 
300:300	there was no other fatal report at other local hospitals but yarmuk , al-kindi and the neurological surgical hospital reported a total of 37 wounded .	N/A	other local hospitals report no death , but al-yarmook , al-khindi and neurosurgery hospitals report a total of 37 injuries .	N/A	1	1	2-4 4-5 5-3 6-0 7-0 8-1 9-2 10-7 11-8 12-9 13-10 14-11 15-12 16-12 17-12 18-13 19-14 20-15 21-16 22-17 23-18 24-19 25-20		 
301:301	no country in the world has yet recognized abkhazia 's independence .	N/A	and no country so far has recognized its independence .	N/A	1	1	0-1 1-2 5-3 5-4 6-3 6-4 7-6 9-7 10-8 11-9 7-5 8-7		 
302:302	after finishing his elementary schooling in the children 's welfare institution , ding hao entered into a middle school in a neighboring rural town .	N/A	he completed his primary schooling in the orphanage , and went to a village secondary school nearby .	N/A	1	1	1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-7 9-7 10-7 11-8 14-10 15-11 16-12 17-14 18-15 19-16 20-16 21-16 22-13 23-13 24-17		 
303:303	twenty to thirty million of people will live in the reclaimed areas in the next century , " china daily " said .	N/A	china daily said that 20 to 30 million people would live in these areas in the next century .	N/A	1	1	0-4 1-5 2-6 3-7 4-7 5-8 6-9 7-10 8-11 9-12 11-13 12-14 13-15 14-16 15-17 18-0 19-1 21-2 22-18		 
304:304	if it had not been for the strong economic operation during the first half of the year , the number would have been much smaller .	N/A	the figure will be much lower if without strong economic motion in the first half of this year .	N/A	1	1	0-6 6-8 7-8 8-9 9-10 10-11 11-12 12-13 13-14 14-15 15-16 16-17 18-0 19-1 20-2 21-3 22-3 23-4 24-5 25-18 2-7 3-7 4-7		 
305:305	china to implement protection regulation on dissemination rights for information networks	N/A	china to issue information network publishing rights protection rules	N/A	1	1	0-0 1-1 2-2 3-7 4-8 6-5 7-6 9-3 10-4		 
306:306	the discovery of dinosaur skeleton fossils has offered important clues in terms of fossil regional distribution and burying patterns of fossils to further seek seeking dinosaur fossils .	N/A	the discovery also provides an important clue to the geographic location pattern and can aid future dinosaur discovery works .	N/A	1	1	0-0 1-1 7-3 8-4 8-5 9-6 22-15 23-13 23-14 25-16 27-19 6-2 10-7 11-7 12-7 13-8 13-9 13-10 13-11 14-8 14-9 14-10 14-11 15-8 15-9 15-10 15-11 16-8 16-9 16-10 16-11 17-8 17-9 17-10 17-11 18-8 18-9 18-10 18-11 19-8 19-9 19-10 19-11 20-8 20-9 20-10 20-11 21-12 22-12 24-17		 
307:307	fischer was accompanied by the european envoy to the me , mighel anchel moor atinus , and the deputy head of the european commisssion , manuel maran .	N/A	fischer is accompanied by the european envoy to the middle east , mieguel a. muratinos , and his deputy , manuel maran .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 10-11 11-12 12-13 13-14 14-14 15-15 16-16 18-18 19-18 24-19 25-20 26-21 27-22 9-9 9-10 17-17		 
308:308	therefore , the youth league calls on the people of malaysia to be united in foiling foreigners ' attempt to destroy the peacefulness in the country .	N/A	therefore , the nfyl calls upon the nation to protect the national peace and security from the damage of foreigners .	N/A	1	1	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-7 9-7 10-7 11-8 16-19 21-10 22-11 22-12 22-13 22-14 26-20 12-9 13-9 14-9 15-9 18-9 19-9 20-9 20-16 20-17 20-18 24-6 25-7		 
309:309	the other three accused persons were sentenced to set terms of imprisonment for their actions in the rule of terror described by people in the prison camp .	N/A	the three accused have been sentenced to imprisonment because of their rule of terror in the pow camp .	N/A	1	1	0-0 1-1 2-1 3-2 4-2 6-5 7-6 11-7 12-8 12-9 13-10 17-11 18-12 19-13 23-14 24-15 25-16 26-17 27-18 5-3 5-4 16-11		 
310:310	according to an apparently confidential document of the indonesian military circulating among the foreign journalists , there are 17,834 indonesian soldiers stationed in east timor as of the end of july this year .	N/A	foreign reporters said that according to confidential military documents in indonesia , there were 17,834 soldiers in east timor at the end of july .	N/A	1	1	0-4 1-5 4-6 5-8 8-9 8-10 9-7 12-0 13-0 14-1 15-11 16-12 18-14 20-15 21-16 22-16 23-17 24-18 25-19 26-19 27-20 28-21 29-22 30-23 33-24 10-2 10-3 11-2 11-3 17-13		 
311:311	there are many questions at this moment . cambodia 's political development is still in progress .	N/A	there are many problems ; cambodia 's political progress is still going on .	N/A	1	1	0-0 1-1 2-2 3-3 8-5 9-6 10-7 11-8 12-9 13-10 14-11 14-12 15-11 15-12 16-13 7-4		 
312:312	however , in most cases , they were quickly released .	N/A	but most of them were released soon after .	N/A	1	1	0-0 2-1 2-2 3-1 3-2 4-1 4-2 7-4 8-6 8-7 9-5 10-8 6-3		 
313:313	in the presence of accredited diplomats in the united arab emirates , baker added : " we were too reticent and passive .	N/A	baker admitted in the presence of the diplomats in the emirates " we were shy and paralysed . "	N/A	1	1	0-2 1-3 2-4 3-5 5-6 5-7 6-8 7-9 8-10 9-10 10-10 12-0 13-1 15-11 16-12 17-13 18-14 19-14 20-15 21-16 22-17		 
314:314	he said that the taliban are trying to create such circumstances so that the they can put pressure on foreign troops to leave the country .	N/A	he said that taliban want to create an environment of stress so that the foreign forces should leave the country .	N/A	1	1	0-0 1-1 2-2 3-3 4-3 5-4 6-4 7-5 8-6 9-7 9-8 10-7 10-8 11-11 12-12 19-14 20-15 21-16 22-17 23-18 24-19 25-20 13-13 16-9 16-10 17-9 17-10		 
315:315	kobsak reiterated that thailand will by no means support any one party of cambodia in taking advantage of thailand to carry out subversive activities against the neighboring countries .	N/A	thailand will never support any side of cambodia that attempts to use thailand as subversion base , the spokesman reiterated .	N/A	1	1	1-19 3-0 4-1 5-2 6-2 7-2 8-3 9-4 12-6 13-7 18-12 28-20 0-17 0-18 10-5 11-5 14-8 14-9 14-10 14-11 15-8 15-9 15-10 15-11 16-8 16-9 16-10 16-11 17-8 17-9 17-10 17-11 19-13 19-14 19-15 20-13 20-14 20-15 21-13 21-14 21-15 22-13 22-14 22-15 23-13 23-14 23-15		 
316:316	this has been a comprehensive report by voice of america reporter fang yuan .	N/A	above is the summary report by voa correspondent fang yuan .	N/A	1	1	0-0 0-1 1-0 1-1 2-0 2-1 3-2 4-3 5-4 6-5 7-6 8-6 9-6 10-7 11-8 12-9 13-10		 
317:317	at the news conference , one reporter asked tang jiaxuan what is the biggest obstacle now in the relationship between china and the us . then tang jiaxuan replied thus	N/A	when tang was asked at the press conference what was the major barrier to the sino-us strategic partnership . he said as follows :	N/A	1	1	0-4 1-5 2-6 3-7 7-3 8-1 9-1 10-8 11-9 12-10 13-11 14-12 16-13 17-14 18-16 18-17 19-15 20-15 21-15 22-15 23-15 24-18 28-20 26-19 27-19 29-21 29-22		 
318:318	present clinton is currently going through an eventful period , with many people inside and outside the united states voicing strong dissatisfaction and criticism of him because of his scandal .	N/A	now president clinton is in great trouble , some americans have expressed their strong complaints and criticism over his sex scandal .	N/A	1	1	0-1 1-2 2-3 3-0 4-4 5-4 6-5 6-6 7-5 7-6 8-5 8-6 9-7 19-10 19-11 20-13 21-14 22-15 23-16 26-17 27-17 28-18 29-19 29-20 30-21 11-8 12-8 13-9 14-9 15-9 16-9 17-9 18-9		 
319:319	then the army drove an armored personnel carrier to save this badly wounded person .	N/A	the severely wounded man was later rescued by an armored carrier .	N/A	1	1	4-8 5-9 6-10 7-10 10-0 11-1 12-2 13-3 14-11 3-6 3-7		 
320:320	representatives participating in the united nations global weather conference being held in the argentinean capital , buenos aires , are continuing their work .	N/A	delegates to the un global climate conference continued their work in buenos aires , capital of argentina .	N/A	1	1	0-0 1-0 2-1 3-2 4-3 5-3 6-4 7-5 8-6 13-15 13-16 14-14 16-11 17-12 18-13 20-7 21-8 22-9 23-17		 
321:321	some people worry in private that this would undermine the business of cnandian enterprises .	N/A	some worried in private that it would affect canadian businesses .	N/A	1	1	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-9 10-9 12-8 13-9 14-10		 
322:322	andreata specified " the objective is the exchange of expertise and the setting of new friendship ties between the armies of the two countries " .	N/A	" the goal is to exchange expertise and establish new friendly ties between the two countries , " andriatta said .	N/A	1	1	0-18 1-19 2-0 3-1 4-2 5-3 6-4 6-5 7-4 7-5 8-4 8-5 9-6 10-7 11-8 12-8 13-8 14-9 15-10 16-11 17-12 18-13 22-14 23-15 24-17 25-20		 
323:323	calderoli is one of the leaders in the leftist organization , which opposes foreigners , under the leadership of umberto bossi .	N/A	calderoli is a senior member of the anti-foreigner northern league led by umberto bossi .	N/A	1	1	0-0 1-1 2-2 3-2 6-5 7-6 12-7 13-7 15-10 16-10 17-10 18-11 19-12 20-13 21-14 4-3 4-4 5-3 5-4 8-9 9-9		 
324:324	duma prepares to ignore the eight years ' long united nations sanction against iraq and is considering to resume political and economic cooperation between russia and iraq .	N/A	duma is considering of resuming russia 's political and economic cooperation with iraq in spite of un 's eight-year sanctions against iraq .	N/A	1	1	0-0 5-18 6-18 9-16 10-16 11-19 12-20 13-21 15-1 16-2 18-4 19-7 20-8 21-9 22-10 24-5 25-11 26-12 27-22 1-13 1-14 1-15 2-13 2-14 2-15 3-13 3-14 3-15 17-3		 
325:325	the un economic commission said that , the difficult economic situation in brazil was also reflected in some other southern countries located in the triangle region .	N/A	the un economic committee said the economic difficulty in brazil has been reflected in the countries of the southern cone region .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-4 7-5 8-7 9-6 11-8 12-9 15-12 16-13 20-15 23-17 24-18 24-19 24-20 25-18 25-19 25-20 26-21 13-10 13-11 21-16 22-16		 
326:326	north korea accused the united states of launching the military exercise with an intention to provoke the war .	N/A	pyongyang has accused u.s. of using the joint military exercise to provoke war .	N/A	1	1	0-0 1-0 2-1 2-2 3-3 4-3 5-3 6-4 7-5 8-6 9-8 10-9 11-10 12-10 13-10 14-10 15-11 16-12 17-12 18-13		 
327:327	he told the reporters , " according to the local immigration regulations , these immigrants do n't belong to a category you want to just throw away . "	N/A	he told reporters : " according to local immigration regulation , these immigrants were not those you want to get rid of . "	N/A	1	1	0-0 1-1 2-2 3-2 4-3 5-4 6-5 7-6 8-7 9-7 10-8 11-9 12-10 13-11 14-12 21-16 22-17 23-18 25-19 25-20 25-21 26-19 26-20 26-21 27-22 28-23 15-13 15-14 16-13 16-14 17-13 17-14 18-13 18-14 19-15 20-15		 
328:328	moreover , it is widely known that the state department updates this list every two years .	N/A	it is known that the state department updates the list every two years .	N/A	1	1	2-0 3-1 4-2 5-2 6-3 7-4 8-5 9-6 10-7 11-8 12-9 13-10 14-11 15-12 16-13		 
329:329	please listen to the following comprehensive report by voice of america reporter , fang yuan :	N/A	now , please listen to voa correspondent fang yuan 's comprehensive coverage .	N/A	1	1	0-2 1-3 2-4 5-10 6-11 8-5 9-5 10-5 11-6 13-7 14-8 15-12		 
330:330	ismail told reporters that he carried a message from the sudanese president , lieutenant general omar al beshir , to his egyptian counterpart , hosny mubarak .	N/A	ismail told reporters that he carries a message from sudanese president omar bashir to his egyptian counterpart , hosni mubarak .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-9 11-10 15-11 16-12 17-12 19-13 20-14 21-15 22-16 23-17 24-18 25-19 26-20		 
331:331	sharon firmly insists on establishing jewish settlements on the west bank of jordan river and is against making any compromise on the issue of army withdrawal .	N/A	sharon firmly advocates to establish jewish settlements in the west bank and opposes compromises on the issue of troop withdrawal .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 14-11 15-12 16-12 17-13 18-13 19-13 20-14 21-15 22-16 23-17 24-18 25-19 26-20		 
332:332	accreditation of law relating to funding of political parties in tunisia	N/A	draft law on funding political parties in tunisia approved	N/A	1	1	2-1 3-2 4-2 5-3 7-4 8-5 9-6 10-7 6-3		 
333:333	south korea and north korea finally signed a cease-fire agreement , but not a formal peace treaty .	N/A	the two koreas finally signed an armistice but no official peace treaty .	N/A	1	1	0-0 0-1 0-2 1-0 1-1 1-2 2-0 2-1 2-2 3-0 3-1 3-2 4-0 4-1 4-2 5-3 6-4 7-5 8-6 9-6 11-7 12-8 14-9 15-10 16-11 17-12		 
334:334	he said , " the network accommodates up to 800 thousand lines , while we have sold only 500 thousand lines so far .	N/A	he said : " the network can handle 800,000 lines and our sales do not exceed 500,000 lines .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 6-7 7-6 7-7 8-6 8-7 9-8 10-8 11-9 13-10 14-11 15-12 16-12 18-16 19-16 20-17 23-18 17-13 17-14 17-15		 
335:335	the economically complementing relationship between china 's mainland and hong kong can combine the strength of both areas , while strengthening the international competitive ability of hong kong products .	N/A	economic co-operation and combination of superiority between mainland and hong kong will improve the international competition ability of hong kong .	N/A	1	1	0-0 1-0 2-1 3-1 4-6 5-7 6-7 7-7 8-8 9-9 10-10 12-3 14-5 15-4 20-12 21-13 22-14 23-15 24-16 25-17 26-18 27-19 29-20 11-11 19-11		 
336:336	gu yongjiang indicated that the inland economic development would provide five great opportunities for hong kong .	N/A	gu yongjiang said that mainland economic development provided hong kong with five chances .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-4 6-5 7-6 9-7 10-11 11-12 12-12 13-10 14-8 15-9 16-13		 
337:337	the leaders , specialists , and users participated in this conference spoke highly of wang ma computer company 's selfless decision and contribution .	N/A	the cadres , specialists and consumers to the conference sang highly of the unselfishness of wangma computer company .	N/A	1	1	0-0 1-1 2-2 3-3 5-4 6-5 7-6 8-6 9-7 10-8 11-9 12-10 13-11 14-15 15-15 16-16 17-17 18-14 19-13 20-13 21-13 22-13 23-18		 
338:338	he added : " successful regional integration means relinquishing a portion of our national sovereignty for the sake of the greater general interest .	N/A	he added , " successful regional integration means trading part of our national sovereignty for a greater general interest .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-9 11-10 12-11 13-12 14-13 15-14 16-14 17-14 18-14 19-15 20-16 21-17 22-18 23-19		 
339:339	the authorities reported that he was allowed to contact members of his family by phone from the armored car he was in .	N/A	officials said they allowed him to call family members from the armored car he was in .	N/A	1	1	0-0 1-0 2-1 3-1 4-4 5-3 6-3 7-5 8-6 9-8 12-7 15-9 16-10 17-11 18-12 19-13 20-14 21-15 22-16		 
340:340	the reporter saw a 29-year-old young man surnamed min standing on guard behind a wired blockade , who had only a pair of pants on tighteded with a belt .	N/A	reporters saw a 29-year-old young man named min , in shorts and with a belt , guarding behind a barbed wire road block .	N/A	1	1	0-0 1-0 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-16 10-16 11-16 12-17 13-18 14-19 14-20 15-21 15-22 20-10 21-10 22-10 23-10 25-12 26-12 27-13 28-14 17-9 18-9 29-23		 
341:341	it is generally expected that if the united states launched a war against iraq , it can not avoid large-scale protests .	N/A	it is generally expected that major protests are inevitable if the us launches a war against iraq	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-9 6-10 7-11 8-11 9-12 10-13 11-14 12-15 13-16 17-8 18-8 19-5 20-6 16-7		 
342:342	lafu thought that such association is possible but there is no way to prove it at this moment .	N/A	lyford thought it possible , but it had not been proved so far .	N/A	1	1	0-0 1-1 6-3 7-5 15-11 15-12 16-11 16-12 17-11 17-12 18-13 3-2 4-2 8-6 8-7 8-8 8-9 8-10 9-6 9-7 9-8 9-9 9-10 10-6 10-7 10-8 10-9 10-10 11-6 11-7 11-8 11-9 11-10 12-6 12-7 12-8 12-9 12-10 13-6 13-7 13-8 13-9 13-10 14-6 14-7 14-8 14-9 14-10		 
343:343	it 's estimated that the total value of import and export this year be above us $ 9,000 million .	N/A	the total volume this year is to rate beyond 9 billion in estimation .	N/A	1	1	2-11 2-12 4-0 5-1 6-2 7-2 8-2 9-2 10-2 11-3 12-4 14-8 17-9 17-10 18-9 18-10 19-13 13-5 13-6 13-7		 
344:344	the cambodia representative indicated that he would pass on the opinion to the general secretary .	N/A	widyono agreed to forward the request to the un secretary general .	N/A	1	1	3-1 6-2 7-3 8-3 9-4 10-5 11-6 12-7 13-10 14-9 15-11 0-0 1-0 2-0		 
345:345	a withdrawal would mean leaving the region 's nations to face the iraqi ball of fire and its ramifications .	N/A	withdrawal means leaving the region to face the iraqi ball of fire and its consequences .	N/A	1	1	0-0 1-0 3-1 4-2 5-3 6-4 7-4 8-4 9-5 10-6 11-7 12-8 13-9 14-10 15-11 16-12 17-13 18-14 19-15		 
346:346	chinese foreign minister tang jiaxuan repeatedly raised the taiwan issue while attending the general assembly of the united nations this time , and has done so in numerous public appearances on his visit to washington .	N/A	chinese foreign minister tang jiaxuan talked about the taiwan issue publicly several times in the un general assembly and during his visit to washington .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-11 5-12 6-5 6-6 7-7 8-8 9-9 12-14 13-16 14-17 16-14 17-15 18-15 22-18 30-19 31-20 32-21 33-22 34-23 35-24 11-13		 
347:347	instead of importing edible oils , the government should import edible oil seeds , which would lessen the expenditure of foreign exchange .	N/A	instead of import cooking oil , the government should import oilseeds to save the foreign exchange .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-6 7-7 8-8 9-9 10-10 11-10 12-10 20-13 20-14 21-15 22-16 14-11 15-11 16-12 17-12 18-12 19-12		 
348:348	in a statement about the assassination attempt , the agency described it as " cheap lies and allegations . "	N/A	the agency described the assassination report as " cheap lies and allegations . "	N/A	1	1	4-3 5-4 6-4 8-0 9-1 10-2 12-6 13-7 14-8 15-9 16-10 17-11 18-12 19-13		 
349:349	as reported by a israeli radio station , the israeli troops shot one palestinian near the israeli settlement in the southern part of gaza on that night .	N/A	according to israel radio , the israeli forces shot 1 palestinian to death around the israeli settlement in south of gaza .	N/A	1	1	0-0 1-0 2-1 3-2 4-2 5-3 6-3 7-4 8-5 9-6 10-7 11-8 11-11 11-12 12-9 13-10 14-13 15-14 16-15 17-16 18-17 19-18 20-18 21-18 22-19 23-20 27-21		 
350:350	in addition , discussions will be held at the seminar regarding the establishment in the future of chinese-foreign joint ventures in the field of foreign trade operations on a trial basis .	N/A	in addition , there will be a discussion on how shanghai should in the future experiment with some joint ventures in foreign trade .	N/A	1	1	0-0 1-1 2-2 3-7 4-4 5-5 6-5 10-8 13-12 14-13 15-14 16-16 18-18 19-19 20-20 21-20 22-20 23-20 24-21 25-22 31-23 11-15 12-15		 
351:351	but the train arrived before the bus crossed the railway , which caused the collision of train and bus .	N/A	the collision took place before the bus could manage to cross the rails .	N/A	1	1	4-4 5-5 6-6 7-9 7-10 8-11 9-12 13-0 14-1 19-13 11-2 11-3 12-2 12-3		 
352:352	he said that , at present , there is not enough evidence to prove that china has positively exported missile technologies to these two countries .	N/A	he said there was not enough evidence to prove that china exported missile technology to the two countries .	N/A	1	1	0-0 1-1 7-2 8-3 9-4 10-5 11-6 12-7 13-8 14-9 15-10 18-11 19-12 20-13 21-14 23-16 24-17 25-18 2-1 22-15		 
353:353	the tourist will be able to reclaim the taxes he paid on his purchases .	N/A	tourists will also be able to reclaim tax paid on goods .	N/A	1	1	0-0 1-0 2-1 3-3 4-4 5-5 6-6 7-7 8-7 10-8 11-9 13-10 14-11		 
354:354	commenting on this experiment , mordakhai said on israeli television : " i do not threaten anyone but i do not advise anyone to threaten us . "	N/A	" ? do n't threat anybody , but i advise whomsoever not to threaten us , " murdakhy commented regarding this test .	N/A	1	1	0-18 1-19 2-20 3-21 5-17 11-0 13-2 14-3 15-4 16-5 17-7 18-8 20-11 21-9 22-10 23-12 24-13 25-14 26-22 27-16 6-18 7-18 8-18 9-18 26-15		 
355:355	the us third quarter economic growth was only 3.3 % which is lower than the 5.5 % recorded for the same time last year .	N/A	u.s. third quarter growth is 3.3 % , which is lower than the 5.5 % recorded in first quarter .	N/A	1	1	0-0 1-0 2-1 3-2 5-3 6-4 8-5 9-6 10-8 11-9 12-10 13-11 14-12 15-13 16-14 17-15 18-16 24-19 19-17 19-18 20-17 20-18 21-17 21-18 22-17 22-18 23-17 23-18		 
356:356	arafat said also that he is expecting " a lot " from the austrian presidency of the european union .	N/A	arafat also said he was expecting more from austria , current head of the eu .	N/A	1	1	0-0 1-2 2-1 4-3 5-4 6-5 11-7 13-8 14-10 14-11 15-12 16-13 17-14 18-14 19-15 7-6 8-6 9-6 10-6		 
357:357	- further promoting the development of hong kong 's financial market .	N/A	- push further development of hong kong financial market .	N/A	1	1	0-0 1-2 2-1 3-3 4-3 5-4 6-5 7-6 9-7 10-8 11-9		 
358:358	maclaren also reiterated his support to the restoration of china 's contracting party position in gatt and original member-state in wto .	N/A	mike laren readdressed support for including china as a member of world trading organizations .	N/A	1	1	0-0 0-1 2-2 4-3 5-4 9-6 17-9 18-9 19-10 20-11 20-12 20-13 21-14 6-5 7-5 8-5		 
359:359	by the end of this year , production and installation of all equipment will have finished .	N/A	all equipments will be produced and are to be installed within this year .	N/A	1	1	0-10 1-10 2-10 3-10 4-11 5-12 11-0 12-1 13-2 16-13 7-3 7-4 8-5 9-7 9-8 9-9		 
360:360	li chengyu , executive deputy governor of henan province , presented an introduction to henan 's natural resources and the state of economic development in the province .	N/A	the executive deputy governor of henan province li chengyu briefed on henan 's natural resources and economic development .	N/A	1	1	0-7 1-8 3-1 4-2 5-3 6-4 7-5 8-6 10-9 11-9 12-9 13-10 14-11 15-12 16-13 17-14 18-15 22-16 23-17 27-18		 
361:361	then and there , some famous movie stars such as jiabao and paike had also been here .	N/A	including some famous stars that time such as garbal and park .	N/A	1	1	4-1 5-2 6-3 7-3 8-6 9-7 10-8 11-9 12-10 17-11 0-4 0-5 1-4 1-5 2-4 2-5		 
362:362	chi haotian and his retinue arrived here by air on 29th for a six-day friendly visit to tanzania on kynana 's invitation .	N/A	chi 's delegation arrived on the 29th for a six-day visit at the invitation of kinana .	N/A	1	1	0-0 1-0 4-2 5-3 9-4 10-5 10-6 11-7 12-8 13-9 15-10 18-11 19-15 20-14 21-12 21-13 22-16 3-1		 
363:363	a local resident called daxiyat wore a muslim hat and dressed in muslim sarong .	N/A	a citizen named daciat wore a moslem hat and sarong .	N/A	1	1	0-0 1-1 2-1 3-2 4-3 5-4 6-5 7-6 8-7 9-8 10-4 11-4 12-6 13-9 14-10		 
364:364	he is currently getting ready to record the complete piano suites of chopin in their historical order .	N/A	he is now preparing to record all chopin 's piano oeuvres in chronological order .	N/A	1	1	0-0 1-1 2-2 3-3 4-3 5-4 6-5 7-6 8-6 9-9 10-10 11-8 12-7 13-11 15-12 16-13 17-14		 
365:365	it is predicted that the economic growth in the next few months will further slow down .	N/A	it is estimated that the economy will slowdown in coming months .	N/A	1	1	0-0 1-1 2-2 3-3 4-4 5-5 6-5 7-8 8-9 9-9 10-9 11-10 12-6 14-7 15-7 16-11		 
366:366	in the course of market competition , a number of reputed brands have emerged , such as yaya of jiangxi province , yililan of beijing , gelanz of guangdong province and tiange of sichuang province .	N/A	in the market competition , brands such as jiangxi yaya duck , beijing yililan , guangdong glanz , sichuan tiange all enjoy good reputations .	N/A	1	1	0-0 1-1 2-2 3-2 4-2 5-3 6-4 10-21 10-22 10-23 11-5 15-6 16-7 17-9 17-10 18-8 19-8 20-8 21-11 22-13 23-12 24-12 25-14 26-16 27-15 28-15 29-15 31-19 32-18 33-18 34-18 35-24 30-17		 
367:367	the statement said that the ceasefire declared by the irish republican army provides an opportunity for resolving the northern ireland issue in a " fair and permanent manner " .	N/A	the statement says , the cease-fire declared by ipa offered an opportunity of " just and permanent " resolution of the north ireland problem .	N/A	1	1	0-0 1-1 3-3 4-4 5-5 6-6 7-7 8-8 9-8 10-8 11-8 12-9 13-10 14-11 15-12 16-18 16-19 17-20 18-21 19-22 20-23 23-13 24-14 25-15 26-16 28-17 29-24 2-2		 
368:368	however , chinese foreign minister tang jiaxuan did not choose to evade this issue . he highly praised the contributions that president clinton has made to the promotion of the sino-u.s. relations .	N/A	however , tang was not evasive at all . he greatly praised and commended president clinton for his contributions in promoting sino-us relations .	N/A	1	1	0-0 1-1 5-2 6-2 8-4 8-6 8-7 9-5 10-5 11-5 14-8 15-9 16-10 17-11 19-18 21-14 22-15 25-19 26-20 27-20 28-20 29-21 30-21 31-22 32-23 7-3 18-17		 
369:369	but , at any rate , they would not allow hopewell corporation to participate in the project any more .	N/A	the hopewell group will not be involved in this project no matter what .	N/A	1	1	7-3 8-4 10-1 11-2 12-5 12-6 13-5 13-6 14-7 15-8 16-9 17-4 18-4 19-13 2-10 2-11 2-12 3-10 3-11 3-12 4-10 4-11 4-12		 
370:370	it was expected that some of these projects were going to be implemented in latin america .	N/A	some of these projects are being carried out in latin america .	N/A	1	1	4-0 5-1 6-2 7-3 12-6 12-7 13-8 14-9 15-10 16-11 8-4 8-5 9-4 9-5 10-4 10-5 11-4 11-5		 
371:371	manoeuvres are expected to take place in egypt starting early october until the tenth of coming november . / end of news story /	N/A	training will take place in egypt between early october and november 10 . / end of item /	N/A	1	1	0-0 1-1 2-1 3-1 4-2 5-3 6-4 7-5 9-7 10-8 12-11 13-11 16-10 17-12 18-13 19-14 20-15 23-17 8-6 11-9 21-16 22-16		 
372:372	it is worth mentioning that bahrain is hosting the command of the american fifth fleet .	N/A	bahrain is known to host the headquarters of the american fifth fleet .	N/A	1	1	5-0 6-1 7-4 8-5 9-6 10-7 11-8 12-9 13-10 14-11 15-12		 
